"Date & Time","Barometer - hPa","Inside Temp - °C","Inside Hum - %","Inside Dew Point - °C","Inside Heat Index - °C","Inside EMC","Temp - °C","High Temp - °C","Low Temp - °C","Hum - %","Dew Point - °C","Wet Bulb - °C","Wind Speed - km/h","Wind Direction","Wind Run - km","High Wind Speed - km/h","High Wind Direction","Wind Chill - °C","Heat Index - °C","THW Index - °C","THSW Index - °C","Rain - mm","Rain Rate - mm/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - mm","UV Index","UV Dose - MEDs","High UV Index","Heating Degree Days","Cooling Degree Days"
"6/2/13 13:30","999,0","20","37","5","19","7,3","2","2","2","74","-2","--","0","","0,0","8","SSW","2","2","2","2","0,0","0,0","65","2,80","114","0,1","0","0,0","0","0,341","0,000"
"6/2/13 14:00","999,0","20","37","5","19","7,3","1","2","1","84","-2","--","2","SE","0,8","13","S","1","1","1","0","0,0","0,0","44","1,89","54","0,0","0","0,0","0","0,363","0,000"
"6/2/13 14:30","999,0","20","37","5","19","7,3","1","1","1","80","-2","--","2","E","0,8","13","SSW","1","1","1","0","0,2","0,0","40","1,72","53","0,0","0","0,0","0","0,358","0,000"
"6/2/13 15:00","999,1","20","37","5","19","7,3","0","1","0","89","-1","--","2","SSW","0,8","10","SW","0","0","0","-1","0,0","0,0","20","0,86","33","0,0","0","0,0","0","0,376","0,000"
"6/2/13 15:30","999,1","20","37","5","19","7,3","-0","0","-0","92","-1","--","0","","0,0","8","ESE","-0","-0","-0","-2","0,0","0,0","6","0,26","14","0,0","0","0,0","0","0,385","0,000"
"6/2/13 16:00","999,2","20","37","5","19","7,3","-0","-0","-0","93","-1","--","2","SE","0,8","10","SSE","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,388","0,000"
"6/2/13 16:30","999,5","20","37","5","19","7,3","-0","-0","-0","94","-1","--","3","SE","1,6","11","SE","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,391","0,000"
"6/2/13 17:00","999,8","20","37","5","19","7,3","-1","-0","-1","95","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 17:30","999,8","20","37","5","19","7,3","-1","-1","-1","95","-1","--","0","","0,0","2","E","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 18:00","1000,1","20","37","5","19","7,3","-1","-1","-1","95","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 18:30","1000,2","20","37","5","19","7,3","-1","-1","-1","95","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,396","0,000"
"6/2/13 19:00","1000,0","20","37","5","19","7,3","-1","-1","-1","94","-2","--","0","","0,0","5","SE","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,399","0,000"
"6/2/13 19:30","1000,3","20","37","5","19","7,3","-1","-1","-1","94","-2","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,406","0,000"
"6/2/13 20:00","1000,5","21","37","5","19","7,3","-1","-1","-1","94","-2","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,400","0,000"
"6/2/13 20:30","1000,7","21","37","5","19","7,3","-1","-1","-1","94","-2","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,397","0,000"
"6/2/13 21:00","1000,8","21","37","5","19","7,3","-1","-1","-1","93","-2","--","0","","0,0","5","SSW","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,395","0,000"
"6/2/13 21:30","1001,1","20","37","5","19","7,3","-1","-1","-1","94","-1","--","0","","0,0","2","SW","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,395","0,000"
